AK,78,1108570,1031800
AL,432,5492272,4949225
AR,236,2777875,2529700
AZ,833,10041986,9206000
CA,6894,83901234,78484125
CO,770,9845810,8976000
CT,730,9357612,8435575
DC,214,2921854,2652350
DE,110,1269136,1138100
FL,2773,31601905,30046125
GA,1355,16728040,15480325
HI,170,2080184,1850525
IA,5,64482,56450
ID,6,65329,59750
IL,1486,18875941,17124225
IN,9,85521,86225
KS,260,3247394,2872325
KY,320,3792530,3504100
LA,426,5001160,4498900
MA,1310,16676279,15051000
MD,1027,12985170,11911400
ME,3,10808,9200
MI,685,8543660,7829900
MN,592,6750746,6302600
MO,660,7692732,7151175
MS,19,149342,139125
MT,79,892047,829525
NC,759,9534813,8787575
NE,5,24542,31700
NH,161,2101386,1917900
NJ,1822,23425159,21657475
NM,183,2084485,1916775
NV,482,5451443,5307375
NY,3701,46108181,42077050
OH,1188,14330148,12991375
OK,293,3712649,3365725
OR,436,4966903,4720150
PA,1482,17462908,15826525
RI,196,2001774,1883025
SC,464,5462458,5080475
SD,63,656514,606150
TN,17,141522,162175
TX,2664,34392715,31236650
UT,252,2952412,2849225
VA,1375,17711443,15982650
VT,54,534973,504100
WA,805,9531739,8855525
WI,446,5485161,5070450
WV,167,1991936,1830525
WY,79,1046050,890750
